housing,job,day,qualification,month,location,online.banking,checking.account,prev.sales,year.contact,length,central.interest.rate,employment.rate,customer.satisfaction,price.index,credit.rating,age,staff_total,confidence.index,emails.month,y
no,Lawyer,tue,other,aug,Inner.city,inactive,yes,0,4,452,5.674,3.6,Satisfactory,106.1952,satisfactory,51,15689,106.02,0,no
no,Driver,thu,Higher.school.certificate,may,Inner.city,inactive,yes,0,3,129,1.378,-1.1,Satisfactory,107.5944,satisfactory,27,15315,76.23,1,no
no,Gardener,wed,Bachelour.degree,may,Inner.city,inactive,no,0,3,329,6.654,3.35,Satisfactory,102.5752,satisfactory,56,15589,100.28,1,no
yes,Driver,mon,other,may,Inner.city,inactive,no,0,1,272,2.321,-1,Satisfactory,105.8844,poor,34,15303,76.9,0,no
yes,Lawyer,tue,other,jun,Inner.city,inactive,no,0,3,513,5.379,3.5,Satisfactory,112.662,satisfactory,56,15651,90.07,0,no
no,Lawyer,fri,Bachelour.degree,may,Inner.city,active,no,0,6,163,2.67,-1.2,Satisfactory,107.5644,poor,35,15311,79.65,0,no
yes,Academic,thu,doctorate,aug,Inner.city,active,yes,0,1,523,5.783,3.7,Satisfactory,107.5752,satisfactory,56,15668,98.91,0,yes
no,Electrician,thu,other,aug,Inner.city,active,yes,0,2,278,2.06,-2.95,Satisfactory,107.2108,satisfactory,46,15188,109.65,0,no
no,Gardener,tue,Bachelour.degree,may,Inner.city,inactive,no,0,1,1110,5.225,3.35,Satisfactory,108.6652,satisfactory,32,15596,98.41,1,no
no,Driver,fri,doctorate,nov,Inner.city,active,yes,1,2,215,1.604,-0.35,Low,110.5636,poor,26,14907,68.15,2,no
no,Gardener,mon,Bachelour.degree,aug,Inner.city,inactive,yes,0,1,279,7.17,3.4,Satisfactory,105.3252,satisfactory,46,15672,96.87,1,no
no,Lawyer,wed,Bachelour.degree,may,Inner.city,inactive,yes,0,0,143,1.69,-1.3,Satisfactory,106.8244,satisfactory,33,15325,79.83,1,no
yes,Driver,tue,doctorate,mar,suburban,inactive,yes,3,4,459,1.078,-1.2,Low,107.7952,excellent,52,15019,100.48,2,yes
no,Plumber,wed,other,jul,Inner.city,inactive,yes,0,3,205,6.263,3.7,Satisfactory,109.9644,satisfactory,27,15679,84.99,0,no
yes,Lawyer,fri,doctorate,aug,Inner.city,inactive,yes,0,0,132,5.535,3.8,Satisfactory,106.1952,satisfactory,34,15673,97.39,0,no
yes,Self-employed,thu,TAFE,may,Inner.city,inactive,yes,0,2,230,2.918,-1,Satisfactory,109.3844,satisfactory,47,15307,81.48,1,no
unknown,Plumber,fri,highschool.certificate,may,suburban,not.registered,no,0,2,482,5.545,2.95,Satisfactory,103.6152,satisfactory,55,15592,100.41,1,no
yes,Plumber,thu,other,may,Inner.city,active,no,0,4,386,6.066,3.25,Satisfactory,107.0052,poor,29,15552,97.67,0,no
yes,Lawyer,mon,other,may,Inner.city,active,yes,0,1,1273,2.089,-1.1,Satisfactory,107.9144,excellent,48,15314,77.46,0,no
yes,Lawyer,mon,other,may,Inner.city,inactive,no,0,1,428,2.981,-1.4,Satisfactory,106.5344,satisfactory,36,15309,79.43,0,no
yes,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,4,391,6.021,3.5,Satisfactory,104.6952,poor,30,15683,100.28,0,no
no,Self-employed,fri,doctorate,jul,suburban,inactive,yes,0,3,183,6.741,3.6,Satisfactory,111.0444,poor,41,15709,86.23,1,no
no,Librarian,wed,highschool.certificate,mar,Inner.city,inactive,yes,0,0,127,1.698,-1.1,Satisfactory,107.9444,excellent,65,15333,67.04,1,no
yes,Self-employed,tue,TAFE,may,suburban,inactive,yes,0,2,485,2.091,-1.4,Low,107.2344,satisfactory,37,15332,79.58,2,no
no,Doctor,thu,unknown,jul,Inner.city,active,yes,0,1,607,6.899,3.8,Satisfactory,105.6144,excellent,38,15659,85.86,0,no
yes,Driver,mon,doctorate,nov,Inner.city,inactive,no,0,2,7854,6.011,1.45,Satisfactory,104.39,poor,31,15606,86.69,0,no
no,Self-employed,tue,highschool.certificate,jul,suburban,inactive,no,0,2,333,5.27,3.5,Satisfactory,108.7244,satisfactory,28,15706,87.36,0,no
yes,Plumber,tue,other,aug,Inner.city,active,yes,0,0,212,2.597,-2.85,Satisfactory,104.7708,excellent,52,15212,109.74,0,no
yes,Lawyer,fri,Bachelour.degree,may,Inner.city,inactive,yes,0,2,214,6.046,3.4,Satisfactory,108.4452,satisfactory,56,15728,99.8,1,no
no,Self-employed,wed,Higher.school.certificate,jul,Inner.city,inactive,yes,0,1,177,6.105,3.7,Satisfactory,106.5744,satisfactory,35,15673,83.85,0,no
yes,Driver,mon,doctorate,aug,suburban,inactive,yes,0,1,550,6.477,3.4,Satisfactory,107.0452,satisfactory,51,15665,100.79,1,no
no,Self-employed,mon,highschool.certificate,jul,Inner.city,inactive,yes,0,5,299,5.869,3.7,Satisfactory,109.8444,poor,30,15588,83.14,0,no
yes,Chef,thu,Bachelour.degree,sep,Inner.city,inactive,yes,0,3,1116,2.613,-0.15,Satisfactory,108.8292,poor,27,14912,95.82,0,yes
no,Gardener,wed,Bachelour.degree,aug,Inner.city,inactive,yes,0,2,471,5.148,1.15,Satisfactory,106.59,poor,29,15623,86.4,0,no
no,Lawyer,tue,other,may,Inner.city,inactive,no,0,0,337,6.31,3.25,Satisfactory,109.1752,satisfactory,34,15574,99.59,1,no
yes,Plumber,fri,other,nov,suburban,active,yes,0,2,97,4.108,1.55,Satisfactory,108.87,poor,41,15567,84.93,1,no
yes,Driver,wed,Higher.school.certificate,nov,Inner.city,inactive,yes,0,2,187,5.14,1.25,Satisfactory,107.99,poor,35,15599,84.26,0,no
yes,Driver,mon,doctorate,apr,Inner.city,inactive,no,0,0,846,1.683,-1.3,High,105.4692,satisfactory,34,14996,102.29,0,yes
yes,Gardener,fri,Bachelour.degree,may,Inner.city,inactive,yes,0,9,347,3.204,-1,High,109.3844,satisfactory,25,15291,81.27,1,no
yes,Electrician,tue,Bachelour.degree,jul,Inner.city,inactive,yes,0,3,308,6.998,3.8,Satisfactory,105.6244,poor,31,15692,82.07,1,no
no,Gardener,tue,Bachelour.degree,may,suburban,inactive,no,0,0,775,6.656,3.25,Satisfactory,107.8152,satisfactory,32,15563,96.63,0,no
yes,Retail,fri,Higher.school.certificate,nov,Inner.city,active,yes,0,3,610,4.476,1.25,Satisfactory,106.29,satisfactory,57,15566,89.7,1,no
no,Plumber,mon,other,nov,Inner.city,inactive,yes,0,1,105,5.302,1.35,Satisfactory,108.03,satisfactory,41,15568,87.45,0,no
yes,Academic,mon,Higher.school.certificate,may,suburban,inactive,no,0,2,485,1.626,-1.2,Satisfactory,107.8744,excellent,39,15291,78.12,0,yes
no,Driver,fri,doctorate,aug,suburban,inactive,yes,0,4,57,5.866,3.5,Satisfactory,105.3852,poor,33,15708,98.05,1,no
no,Driver,tue,doctorate,may,Inner.city,inactive,no,0,0,389,5.404,3.25,Satisfactory,109.6352,satisfactory,41,15542,96.05,0,no
yes,Lawyer,tue,Bachelour.degree,jul,Inner.city,inactive,yes,0,2,763,5.952,3.4,Satisfactory,108.4944,poor,29,15654,85.57,0,no
yes,Driver,thu,doctorate,apr,Inner.city,inactive,yes,0,3,788,2.7,-1.2,High,105.44,poor,30,15302,76.33,1,no
yes,Lawyer,fri,doctorate,jul,Inner.city,inactive,no,0,2,159,2.306,-2.75,Satisfactory,105.0852,poor,30,15207,105.95,1,no
